0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
KRW-BTC,KRW-ETH,KRW-MTL,KRW-ELF,,,,,,,,,,,,,,,,,,,,,,,,
KRW-ETH,KRW-BTC,,,,,,,,,,,,,,,,,,,,,,,,,,
KRW-NEO,KRW-GAS,KRW-QTUM,KRW-ANKR,KRW-SC,KRW-MOC,KRW-ONT,,,,,,,,,,,,,,,,,,,,,
KRW-MTL,KRW-BTC,KRW-TRX,,,,,,,,,,,,,,,,,,,,,,,,,
KRW-XRP,KRW-XLM,,,,,,,,,,,,,,,,,,,,,,,,,,
KRW-ETC,KRW-WAVES,KRW-IOTA,KRW-CVC,KRW-BAT,KRW-BTG,KRW-POLYX,KRW-ONG,KRW-ZIL,KRW-KNC,KRW-IOST,KRW-THETA,KRW-MANA,KRW-ADA,KRW-ARDR,KRW-TFUEL,KRW-XEM,KRW-BTT,KRW-STEEM,,,,,,,,,
KRW-SNT,KRW-POWR,KRW-STEEM,KRW-QKC,KRW-IOST,KRW-ZRX,KRW-ARDR,KRW-ONG,KRW-BAT,KRW-ZIL,KRW-QTUM,KRW-LSK,KRW-KNC,KRW-TFUEL,KRW-CVC,KRW-ANKR,KRW-ONT,KRW-XEM,KRW-BTG,KRW-THETA,KRW-MANA,KRW-SC,,,,,,
KRW-WAVES,KRW-IOTA,KRW-ETC,KRW-BTG,KRW-CVC,KRW-POLYX,KRW-BAT,KRW-KNC,KRW-ONG,KRW-IOST,KRW-ARDR,KRW-ZIL,KRW-THETA,KRW-STEEM,KRW-POWR,,,,,,,,,,,,,
KRW-XEM,KRW-THETA,KRW-ARDR,KRW-EOS,KRW-ZIL,KRW-TFUEL,KRW-CVC,KRW-BAT,KRW-IOST,KRW-ONG,KRW-MANA,KRW-LSK,KRW-QKC,KRW-POWR,KRW-IOTA,KRW-STEEM,KRW-ADA,KRW-ANKR,KRW-ONT,KRW-ZRX,KRW-SBD,KRW-ETC,KRW-SNT,,,,,
KRW-QTUM,KRW-ANKR,KRW-ONT,KRW-SC,KRW-ZRX,KRW-LSK,KRW-NEO,KRW-MOC,KRW-IOST,KRW-STEEM,KRW-POWR,KRW-QKC,KRW-SNT,KRW-SBD,KRW-GAS,KRW-ARDR,KRW-ZIL,KRW-UPP,,,,,,,,,,
